                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55702,                 3.0158,                 1.1198,                 0.6739,                0.62639,                0.69001,                0.62855,                0.39124,                 1.5423,                 1.0218,              0.0033327,              0.0033327,              0.0033327
                      2,                0.55191,                 1.7597,                 1.0781,                0.80257,                0.83993,                0.85961,                0.80562,                0.34329,                0.76994,                0.98553,               0.006534,               0.006534,               0.006534
                      3,                0.59326,                 1.4406,                 1.0912,                0.85728,                 0.8529,                0.90972,                 0.8438,                 0.3721,                0.65501,                 1.0111,              0.0096034,              0.0096034,              0.0096034
                      4,                0.58771,                  1.196,                 1.0891,                0.89808,                0.88482,                0.94325,                0.88643,                 0.3429,                0.51004,                0.97867,               0.009406,               0.009406,               0.009406
                      5,                0.53594,                0.97257,                 1.0642,                0.91648,                0.91042,                 0.9574,                0.91257,                0.30173,                0.41561,                0.94601,               0.009208,               0.009208,               0.009208
                      6,                0.50618,                0.84428,                 1.0478,                0.92957,                0.91808,                0.95556,                0.91477,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                      7,                 0.4891,                0.77446,                 1.0406,                0.91631,                0.90732,                0.95023,                0.85035,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                      8,                0.47509,                0.72079,                 1.0331,                0.95521,                0.93625,                0.97415,                0.93951,                 0.2704,                0.31112,                 0.9254,               0.008614,               0.008614,               0.008614
                      9,                0.45889,                0.67672,                 1.0243,                0.96019,                0.93957,                0.97583,                0.94423,                0.25773,                0.29072,                0.91483,               0.008416,               0.008416,               0.008416
                     10,                0.45532,                0.64662,                 1.0238,                0.96027,                0.94018,                0.97618,                 0.9443,                0.25544,                0.28144,                0.91352,               0.008218,               0.008218,               0.008218
                     11,                0.44802,                0.62624,                  1.019,                0.96803,                0.94233,                0.97879,                0.95054,                 0.2427,                0.26916,                0.90192,                0.00802,                0.00802,                0.00802
                     12,                 0.4395,                0.59864,                 1.0156,                0.96843,                0.94087,                0.97916,                  0.951,                0.24141,                0.26104,                0.90208,               0.007822,               0.007822,               0.007822
                     13,                0.43335,                0.58086,                 1.0123,                0.96326,                0.95097,                0.97968,                0.95324,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     14,                0.42769,                0.56982,                 1.0095,                0.95834,                0.94486,                0.97474,                0.94746,                0.23763,                0.25816,                0.89901,               0.007426,               0.007426,               0.007426
                     15,                0.42346,                0.55153,                 1.0068,                0.96546,                0.94485,                0.97623,                 0.9504,                0.23244,                0.24979,                0.89647,               0.007228,               0.007228,               0.007228
                     16,                 0.4172,                0.53755,                 1.0034,                 0.9712,                0.94303,                0.98072,                0.95523,                0.22793,                0.24301,                0.89294,                0.00703,                0.00703,                0.00703
                     17,                0.41431,                0.53131,                 1.0018,                0.96736,                0.94554,                 0.9775,                0.95348,                0.22707,                0.24326,                0.89068,               0.006832,               0.006832,               0.006832
                     18,                0.41018,                0.51279,                 1.0009,                0.96871,                0.94826,                0.98042,                 0.9569,                0.22451,                0.23754,                0.89002,               0.006634,               0.006634,               0.006634
                     19,                0.40706,                 0.5068,                0.99932,                0.96466,                0.94558,                  0.972,                0.94772,                0.22292,                0.27708,                0.88897,               0.006436,               0.006436,               0.006436
