                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9782,                0.92836,                0.99316,                  3.237,             0.00023798,             0.00023798,             0.00023798
                      2,                 0.4766,                0.97814,                0.99672,                 3.1492,             0.00042886,             0.00042886,             0.00042886
                      3,                0.27227,                0.98362,                0.99774,                 3.1348,             0.00057262,             0.00057262,             0.00057262
                      4,                0.19194,                0.98605,                0.99853,                  3.128,             0.00050194,             0.00050194,             0.00050194
                      5,                0.14175,                0.98825,                0.99915,                 3.1231,             0.00043126,             0.00043126,             0.00043126
                      6,                0.11037,                0.98972,                0.99944,                 3.1209,             0.00036057,             0.00036057,             0.00036057
                      7,                0.08572,                0.99056,                0.99938,                 3.1189,             0.00028988,             0.00028988,             0.00028988
                      8,                0.07223,                0.99079,                0.99944,                 3.1187,              0.0002192,              0.0002192,              0.0002192
                      9,                0.05638,                0.99124,                0.99944,                  3.118,             0.00014851,             0.00014851,             0.00014851
                     10,                0.04664,                0.99136,                0.99955,                 3.1176,             7.7826e-05,             7.7826e-05,             7.7826e-05
