                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5632,                0.73636,                      1,                 1.5237,             0.00022848,             0.00022848,             0.00022848
                      2,                0.97904,                0.95455,                      1,                 1.1279,             0.00041815,             0.00041815,             0.00041815
                      3,                 0.3618,                0.97273,                      1,                0.96167,             0.00056118,             0.00056118,             0.00056118
                      4,                0.18591,                0.98182,                      1,                0.93884,             0.00050194,             0.00050194,             0.00050194
                      5,                0.16294,                0.98182,                      1,                 0.9364,             0.00043126,             0.00043126,             0.00043126
                      6,                0.11507,                0.99091,                      1,                0.92761,             0.00036057,             0.00036057,             0.00036057
                      7,                0.10462,                0.99091,                      1,                0.92114,             0.00028988,             0.00028988,             0.00028988
                      8,                0.08173,                0.99091,                      1,                0.92053,              0.0002192,              0.0002192,              0.0002192
                      9,                0.07333,                0.99091,                      1,                 0.9248,             0.00014851,             0.00014851,             0.00014851
                     10,                0.06719,                0.99091,                      1,                0.92078,             7.7826e-05,             7.7826e-05,             7.7826e-05
